task   id   group   session   trial   condition   trialxcondition   gripFreq
PIT   106   control   second   22    CSminus   7   0
PIT   106   control   second   23    CSminus   8   0
PIT   106   control   second   24    CSminus   9   0
PIT   106   control   second   25    CSplus   7   0
PIT   106   control   second   26    CSplus   8   0
PIT   106   control   second   27    CSplus   9   0
PIT   106   control   second   28    BL   10   0
PIT   106   control   second   29    BL   11   0
PIT   106   control   second   30    BL   12   0
PIT   106   control   second   31    CSplus   10   0
PIT   106   control   second   32    CSplus   11   0
PIT   106   control   second   33    CSplus   12   0
PIT   106   control   second   34    CSminus   10   0
PIT   106   control   second   35    CSminus   11   0
PIT   106   control   second   36    CSminus   12   0
PIT   106   control   second   37    BL   13   0
PIT   106   control   second   38    BL   14   0
PIT   106   control   second   39    BL   15   0
PIT   106   control   second   40    CSplus   13   0
PIT   106   control   second   41    CSplus   14   0
PIT   106   control   second   42    CSplus   15   0
PIT   106   control   second   43    CSminus   13   0
PIT   106   control   second   44    CSminus   14   0
PIT   106   control   second   45    CSminus   15   0
PIT   107   control   second   1    CSminus   1   14
PIT   107   control   second   2    CSminus   2   19
PIT   107   control   second   3    CSminus   3   20
PIT   107   control   second   4    BL   1   21
PIT   107   control   second   5    BL   2   21
PIT   107   control   second   6    BL   3   23
PIT   107   control   second   7    CSplus   1   24
PIT   107   control   second   8    CSplus   2   23
PIT   107   control   second   9    CSplus   3   15
PIT   107   control   second   10    CSminus   4   22
PIT   107   control   second   11    CSminus   5   20
PIT   107   control   second   12    CSminus   6   20
PIT   107   control   second   13    BL   4   21
PIT   107   control   second   14    BL   5   21
PIT   107   control   second   15    BL   6   22
PIT   107   control   second   16    CSplus   4   21
PIT   107   control   second   17    CSplus   5   17
PIT   107   control   second   18    CSplus   6   17
PIT   107   control   second   19    BL   7   15
PIT   107   control   second   20    BL   8   13
PIT   107   control   second   21    BL   9   16
PIT   107   control   second   22    CSminus   7   13
PIT   107   control   second   23    CSminus   8   14
PIT   107   control   second   24    CSminus   9   14
PIT   107   control   second   25    CSplus   7   22
PIT   107   control   second   26    CSplus   8   18
PIT   107   control   second   27    CSplus   9   8
PIT   107   control   second   28    CSminus   10   7
PIT   107   control   second   29    CSminus   11   10
PIT   107   control   second   30    CSminus   12   12
PIT   107   control   second   31    BL   10   8
PIT   107   control   second   32    BL   11   8
PIT   107   control   second   33    BL   12   7
PIT   107   control   second   34    CSplus   10   6
PIT   107   control   second   35    CSplus   11   8
PIT   107   control   second   36    CSplus   12   10
PIT   107   control   second   37    BL   13   12
PIT   107   control   second   38    BL   14   17
PIT   107   control   second   39    BL   15   12
PIT   107   control   second   40    CSminus   13   6
PIT   107   control   second   41    CSminus   14   7
PIT   107   control   second   42    CSminus   15   13
PIT   107   control   second   43    CSplus   13   12
PIT   107   control   second   44    CSplus   14   5
PIT   107   control   second   45    CSplus   15   10
PIT   108   control   second   1    CSplus   1   31
PIT   108   control   second   2    CSplus   2   9
PIT   108   control   second   3    CSplus   3   26
PIT   108   control   second   4    BL   1   13
PIT   108   control   second   5    BL   2   23
PIT   108   control   second   6    BL   3   19
PIT   108   control   second   7    CSminus   1   19
PIT   108   control   second   8    CSminus   2   17
PIT   108   control   second   9    CSminus   3   25
PIT   108   control   second   10    CSminus   4   29
PIT   108   control   second   11    CSminus   5   22
PIT   108   control   second   12    CSminus   6   25
PIT   108   control   second   13    BL   4   27
PIT   108   control   second   14    BL   5   33
PIT   108   control   second   15    BL   6   30
PIT   108   control   second   16    CSplus   4   37
PIT   108   control   second   17    CSplus   5   37
PIT   108   control   second   18    CSplus   6   28
PIT   108   control   second   19    CSminus   7   30
PIT   108   control   second   20    CSminus   8   26
PIT   108   control   second   21    CSminus   9   29
PIT   108   control   second   22    CSplus   7   25
PIT   108   control   second   23    CSplus   8   32
PIT   108   control   second   24    CSplus   9   25
PIT   108   control   second   25    BL   7   21
PIT   108   control   second   26    BL   8   20
PIT   108   control   second   27    BL   9   27
PIT   108   control   second   28    CSplus   10   26
PIT   108   control   second   29    CSplus   11   33
PIT   108   control   second   30    CSplus   12   21
PIT   108   control   second   31    CSminus   10   25
PIT   108   control   second   32    CSminus   11   23
PIT   108   control   second   33    CSminus   12   30
PIT   108   control   second   34    BL   10   29
PIT   108   control   second   35    BL   11   26
PIT   108   control   second   36    BL   12   20
PIT   108   control   second   37    CSplus   13   33
PIT   108   control   second   38    CSplus   14   29
PIT   108   control   second   39    CSplus   15   32
PIT   108   control   second   40    BL   13   18
PIT   108   control   second   41    BL   14   33
PIT   108   control   second   42    BL   15   29
PIT   108   control   second   43    CSminus   13   21
PIT   108   control   second   44    CSminus   14   10
PIT   108   control   second   45    CSminus   15   10
PIT   109   control   second   1    CSminus   1   8
PIT   109   control   second   2    CSminus   2   14
PIT   109   control   second   3    CSminus   3   19
PIT   109   control   second   4    BL   1   21
PIT   109   control   second   5    BL   2   23
PIT   109   control   second   6    BL   3   24
PIT   109   control   second   7    CSplus   1   22
PIT   109   control   second   8    CSplus   2   22
PIT   109   control   second   9    CSplus   3   23
PIT   109   control   second   10    CSminus   4   22
PIT   109   control   second   11    CSminus   5   22
PIT   109   control   second   12    CSminus   6   23
PIT   109   control   second   13    BL   4   24
PIT   109   control   second   14    BL   5   24
PIT   109   control   second   15    BL   6   25
PIT   109   control   second   16    CSplus   4   27
PIT   109   control   second   17    CSplus   5   27
PIT   109   control   second   18    CSplus   6   27
PIT   109   control   second   19    CSminus   7   27
PIT   109   control   second   20    CSminus   8   26
PIT   109   control   second   21    CSminus   9   26
PIT   109   control   second   22    BL   7   27
PIT   109   control   second   23    BL   8   25
PIT   109   control   second   24    BL   9   25
PIT   109   control   second   25    CSplus   7   28
PIT   109   control   second   26    CSplus   8   27
PIT   109   control   second   27    CSplus   9   28
PIT   109   control   second   28    BL   10   28
PIT   109   control   second   29    BL   11   27
PIT   109   control   second   30    BL   12   28
PIT   109   control   second   31    CSplus   10   29
PIT   109   control   second   32    CSplus   11   26
PIT   109   control   second   33    CSplus   12   27
PIT   109   control   second   34    CSminus   10   27
PIT   109   control   second   35    CSminus   11   29
PIT   109   control   second   36    CSminus   12   29
PIT   109   control   second   37    CSminus   13   28
PIT   109   control   second   38    CSminus   14   28
PIT   109   control   second   39    CSminus   15   29
PIT   109   control   second   40    CSplus   13   29
PIT   109   control   second   41    CSplus   14   26
PIT   109   control   second   42    CSplus   15   30
PIT   109   control   second   43    BL   13   28
PIT   109   control   second   44    BL   14   29
PIT   109   control   second   45    BL   15   25
PIT   112   control   second   1    CSminus   1   10
PIT   112   control   second   2    CSminus   2   14
PIT   112   control   second   3    CSminus   3   17
PIT   112   control   second   4    BL   1   15
PIT   112   control   second   5    BL   2   14
PIT   112   control   second   6    BL   3   15
PIT   112   control   second   7    CSplus   1   19
PIT   112   control   second   8    CSplus   2   12
PIT   112   control   second   9    CSplus   3   14
PIT   112   control   second   10    CSplus   4   10
PIT   112   control   second   11    CSplus   5   15
PIT   112   control   second   12    CSplus   6   6
PIT   112   control   second   13    CSminus   4   16
PIT   112   control   second   14    CSminus   5   16
PIT   112   control   second   15    CSminus   6   15
PIT   112   control   second   16    BL   4   14
PIT   112   control   second   17    BL   5   10
PIT   112   control   second   18    BL   6   14
PIT   112   control   second   19    CSplus   7   10
PIT   112   control   second   20    CSplus   8   15
PIT   112   control   second   21    CSplus   9   13
PIT   112   control   second   22    CSminus   7   14
PIT   112   control   second   23    CSminus   8   13
PIT   112   control   second   24    CSminus   9   14
PIT   112   control   second   25    BL   7   11
PIT   112   control   second   26    BL   8   10
PIT   112   control   second   27    BL   9   12
PIT   112   control   second   28    BL   10   18
